,f3662208,f3662212,f3662213,f3662216,f3662210,f3662207
0,Ολυμπιακός-Παο,Ολυμπιακός-ΠΑΟ,Ολυμπιακός-Π.Α.Ο,Ολυμπιακός-Παο,Ολυμπιακός-Παναθηναϊκός,Ολυμπιακός-ΠΑΟ
1,Ναι το ξέρω,Ναι το ξέρω,Ναι το ξέρω,Ναι το ξέρω,Ναι το ξέρω,Ναι το ξέρω
2,Άλλη ερώτηση,Άλλη ερώτηση,Άλλη ερώτηση,Άλλη ερώτηση,Άλλη ερώτηση,Άλλη ερώτηση
3,Μπορώ να παίξω τώρα,Μπορώ να παίξω τώρα,Μπορώ να παίξω τώρα,Μπορώ να παίξω τώρα,Μπορώ να παίξω τώρα,Μπορώ να παίξω τώρα
4,Στείλε,Στείλε,Στείλε,Στείλε,Στείλε,Στείλε
5,Πες τι είναι,Πες τι είναι,Πες τι είναι,Πες τι είναι,Πες τι είναι,Πες τι είναι
6,Πότε θα κάνετε άλλη ερώτηση,Πότε θα κάνετε άλλη ερώτηση,Πότε θα κάνετε άλλη ερώτηση,Πότε θα κάνετε άλλη ερώτηση,Πότε θα κάνετε άλλη ερώτηση,Πότε θα κάνετε άλλη ερώτηση
7,Είσαι αγόρι ή κορίτσι,Είσαι αγόρι ή κορίτσι,Είσαι αγόρι ή κοριτσι,Είσαι αγόρι ή κορίτσι,Είσαι αγόρι ή κορίτσι,Είσαι αγόρι ή κορίτσι
8,Κάνε μου ερώτηση,Κάνε μου ερώτηση,Κάνε μου ερώτηση,Κάνε μου ερώτηση,Κάνε μου ερώτηση,Κάνε μου ερώτηση
9,10-Ιούνη (Ιουνίου),10-Ιουνίου,2023-06-10 00:00:00,10 Ιουνίου,10 Ιουνίου,10-Ιουνίου
10,Γιατί το επεισόδιο σήμερα είναι επανάληψη,Γιατί το επεισόδιο σήμερα είναι επανάληψη,Γιατί το επεισόδιο σήμερα είναι επανάληψη,Γιατί το επεισόδιο σήμερα είναι επανάληψη,Γιατί το επεισόδιο σήμερα είναι επανάληψη,Γιατί το επεισόδιο σήμερα είναι επανάληψη
11,Πότε (Ποτέ),Πότε,Πότε/ Ποτέ,Πότε,Πότε/Ποτέ,Ποτε
12,Ωραίαααα,Ωραίαααα,Ωραία,Ωραίαααα,Ωραίαααα,Ωραίαααα
13,Θα απαντήσεις,Θα απαντήσεις,Θα απαντήσεις,Θα απαντήσεις,Θα απαντήσεις,Θα απαντήσεις
14,Γιατί συνέχεια μου δίνεις 50,Γιατί συνέχεια μου δίνεις50,Γιατί συνέχεια μου δίνεις πενήντα,Γιατί συνέχεια μου δίνεις 50,Γιατί συνέχεια μου δίνεις 50,Γιατί συνέχεια μου δίνεις 50
15,Εγώ δεν θέλω κανέναν από τους μαχητές,Εγώ δεν θέλω κανέναν από τους μαχητές,Εγώ δεν θέλω κανέναν από τους μαχητές,Εγώ δεν θέλω κανέναν από τους μαχητές,Εγώ δεν θέλω κανέναν από τους μαχητές,Εγώ δεν θέλω κανέναν από τους μαχητές
16,Είσαι υπολογιστής,Είσαι υπολογιστής,Είσαι υπολογιστής,Είσαι υπολογιστής,Είσαι υπολογιστής,Είσαι υπολογιστής
17,Κάτι καινούργιο,Κάτι καινούργιο,Κάτι καινούργιο,Κάτι καινούργιο,Κάτι καινούριο,Κάτι καινούριο
18,Ναι ,Ναι ,Ναι,Ναι,Ναι,Ναι
19,Ποιος θες να φύγει;,Ποιος θες να φύγει;,Ποιος θες να φύγει;,Ποιος θες να φύγει?,Ποιός θες να φύγει;,Ποιος θες να φύγει;
20,Ναι ή όχι,Ναι ή όχι,Ναι ή όχι,Ναι ή όχι,Ναι ή όχι,Ναι ή όχι
21,Δεν έχω ελληνικά,Δεν έχω ελληνικά,Δεν έχω ελληνικά,Δεν έχω ελληνικά,Δεν έχω ελληνικά,Δεν έχω ελληνικά
